District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Malden,1650000,     473.0,99.8,  13.7 to 1,80.2,93.8,96.9,2020
Manchester Essex Regional,6980000,     131.5,98.5,  10.4 to 1,87.4,96.5,91.2,2020
Mansfield,1670000,     300.9,100.0,  12.1 to 1,89.1,98.2,98.7,2020
Map Academy Charter School (District),35170000,       9.5,63.2,  16.9 to 1,21.1,68.4,46.2,2020
Marblehead,1680000,     257.2,100.0,  11.5 to 1,87.2,94.7,92.9,2020
Marblehead Community Charter Public (District),4640000,      22.1,81.9,   9.3 to 1,61.5,77.4,65.2,2020
Marion,1690000,      32.5,100.0,  13.3 to 1,98.5,97.5,100.0,2020
Marlborough,1700000,     387.6,99.7,  12.3 to 1,86.3,97.4,98.7,2020
Marshfield,1710000,     324.6,100.0,  12.2 to 1,91.5,96.0,98.0,2020
Martha's Vineyard,7000000,      75.1,98.7,   8.9 to 1,87.3,85.3,88.4,2020
Martha's Vineyard Charter (District),4660000,      16.5,95.5,  10.4 to 1,88.5,82.4,73.7,2020
Martin Luther King Jr. Charter School of Excellence (District),4920000,      34.6,88.4,  10.4 to 1,74.0,82.7,61.5,2020
Masconomet,7050000,     132.4,99.2,  13.0 to 1,94.0,96.0,94.3,2020
Mashpee,1720000,     139.6,99.3,  11.2 to 1,89.0,91.4,90.5,2020
Mattapoisett,1730000,      37.1,100.0,  11.9 to 1,95.1,99.2,100.0,2020
Maynard,1740000,     111.8,95.5,  11.3 to 1,87.8,96.2,84.8,2020
Medfield,1750000,     195.6,99.0,  13.3 to 1,87.9,95.7,93.3,2020
Medford,1760000,     397.2,98.8,  10.6 to 1,80.5,93.7,91.8,2020
Medway,1770000,     160.4,100.0,  13.6 to 1,89.7,97.5,97.6,2020
Melrose,1780000,     273.9,100.0,  14.5 to 1,79.9,95.6,96.8,2020
Mendon-Upton,7100000,     156.4,97.8,  14.4 to 1,87.0,94.9,90.3,2020
Methuen,1810000,     497.8,98.1,  13.8 to 1,83.8,92.8,89.3,2020
Middleborough,1820000,     217.9,99.5,  13.7 to 1,85.3,98.2,97.3,2020
Middleton,1840000,      65.1,99.8,  11.0 to 1,80.5,100.0,94.1,2020
Milford,1850000,     337.6,98.8,  13.1 to 1,86.1,94.3,96.0,2020
Millbury,1860000,     131.7,100.0,  12.9 to 1,86.4,93.2,93.4,2020
Millis,1870000,      93.7,99.7,  12.6 to 1,95.4,98.9,91.1,2020
Milton,1890000,     310.4,99.7,  14.3 to 1,83.4,92.1,92.4,2020
Minuteman Regional Vocational Technical,8300000,      71.5,97.2,   8.4 to 1,94.3,90.2,89.9,2020
Mohawk Trail,7170000,      78.6,100.0,  10.7 to 1,80.1,94.1,91.8,2020
Monomoy Regional School District,7120000,     169.0,98.5,  11.1 to 1,88.7,91.9,94.6,2020
Monson,1910000,      81.0,100.0,  11.4 to 1,86.7,90.7,86.2,2020
Montachusett Regional Vocational Technical,8320000,     113.0,98.2,  12.7 to 1,87.2,84.1,93.0,2020
Mount Greylock,7150000,     105.8,98.1,  11.0 to 1,80.3,88.8,94.7,2020
Mystic Valley Regional Charter (District),4700000,     105.5,56.2,  15.2 to 1,33.7,82.0,38.9,2020
Nahant,1960000,       9.6,94.1,  16.0 to 1,70.9,100.0,85.7,2020
Nantucket,1970000,     146.8,95.1,  11.4 to 1,77.7,90.0,93.0,2020
Narragansett,7200000,     100.4,100.0,  14.6 to 1,87.8,88.0,93.3,2020
Nashoba,7250000,     264.6,99.2,  12.0 to 1,87.9,96.5,95.8,2020
Nashoba Valley Regional Vocational Technical,8520000,      65.0,100.0,  10.9 to 1,89.2,76.9,97.0,2020
Natick,1980000,     431.2,99.2,  12.8 to 1,80.9,94.4,93.7,2020
Nauset,6600000,     136.4,99.3,  10.9 to 1,88.5,93.4,91.4,2020
Needham,1990000,     423.4,99.8,  13.5 to 1,87.1,96.3,94.5,2020
Neighborhood House Charter (District),4440000,      66.4,59.9,  10.6 to 1,28.5,83.8,46.5,2020
New Bedford,2010000,     958.3,94.9,  13.4 to 1,74.0,85.4,88.7,2020
New Heights Charter School of Brockton (District),35130000,      41.8,77.0,  14.4 to 1,43.5,78.5,69.6,2020
New Salem-Wendell,7280000,      13.7,100.0,  10.6 to 1,78.8,81.8,100.0,2020
Newburyport,2040000,     195.3,99.7,  11.6 to 1,92.0,96.0,97.0,2020
Newton,2070000,"   1,086.9",98.7,  11.8 to 1,85.1,96.4,95.6,2020
Norfolk,2080000,      79.0,100.0,  12.4 to 1,87.7,98.7,100.0,2020
Norfolk County Agricultural,9150000,      56.1,98.2,   9.8 to 1,89.1,93.4,91.2,2020
North Adams,2090000,     129.3,93.8,  10.5 to 1,75.8,89.9,83.9,2020
North Andover,2110000,     315.9,99.2,  14.8 to 1,88.3,96.4,91.8,2020
North Attleborough,2120000,     285.3,99.6,  14.6 to 1,84.8,93.9,97.4,2020
North Brookfield,2150000,      45.8,100.0,  11.9 to 1,79.3,97.8,93.2,2020
North Middlesex,7350000,     247.4,100.0,  12.5 to 1,88.7,98.0,92.5,2020
North Reading,2170000,     207.2,100.0,  11.6 to 1,87.9,95.6,98.1,2020
Northampton,2100000,     235.9,98.5,  11.4 to 1,86.2,94.8,94.4,2020
Northampton-Smith Vocational Agricultural,4060000,      56.0,96.4,   8.9 to 1,80.4,75.0,92.9,2020
Northboro-Southboro,7300000,     115.4,99.1,  12.0 to 1,86.2,96.7,91.6,2020
Northborough,2130000,     129.4,99.2,  12.3 to 1,95.1,96.7,95.7,2020
Northbridge,2140000,     159.8,100.0,  12.5 to 1,88.7,95.0,97.7,2020
Northeast Metropolitan Regional Vocational Technical,8530000,     119.6,94.2,  10.7 to 1,81.6,83.3,89.3,2020
Northern Berkshire Regional Vocational Technical,8510000,      42.1,92.9,  12.0 to 1,90.5,92.9,85.7,2020
Norton,2180000,     169.2,100.0,  14.4 to 1,89.4,97.0,97.9,2020
Norwell,2190000,     164.8,100.0,  13.4 to 1,93.3,97.6,96.5,2020
Norwood,2200000,     280.4,100.0,  12.4 to 1,89.9,96.8,98.0,2020
Oak Bluffs,2210000,      49.4,98.9,   8.6 to 1,85.3,91.0,88.5,2020
Old Colony Regional Vocational Technical,8550000,      60.0,98.3,   9.3 to 1,78.3,75.0,96.7,2020
Old Rochester,7400000,      90.0,100.0,  13.1 to 1,92.2,96.7,95.6,2020
Old Sturbridge Academy Charter Public School (District),35150000,      16.1,84.5,  14.9 to 1,26.9,87.6,77.8,2020
Orange,2230000,      42.6,97.7,  12.5 to 1,86.8,88.3,97.7,2020
Orleans,2240000,      18.7,100.0,  10.5 to 1,100.0,100.0,95.7,2020
Oxford,2260000,     122.1,98.3,  12.9 to 1,94.3,92.5,87.3,2020
Palmer,2270000,     120.3,99.2,  10.8 to 1,87.4,93.2,93.0,2020
Pathfinder Regional Vocational Technical,8600000,      75.0,97.3,   8.3 to 1,80.0,80.0,97.4,2020
Paulo Freire Social Justice Charter School (District),35010000,      24.1,83.4,  11.5 to 1,62.7,58.5,72.0,2020
Peabody,2290000,     449.3,99.3,  13.3 to 1,88.6,95.9,93.8,2020
Pelham,2300000,      12.2,98.4,  10.2 to 1,62.4,90.2,100.0,2020
Pembroke,2310000,     190.2,99.5,  14.3 to 1,93.1,94.7,94.0,2020
Pentucket,7450000,     194.9,100.0,  12.3 to 1,87.2,98.5,92.2,2020
Petersham,2340000,      13.0,76.9,  10.1 to 1,61.5,92.3,69.2,2020
Phoenix Academy Public Charter High School Lawrence (District),35180000,      15.1,86.8,   8.2 to 1,13.2,73.5,46.7,2020
Phoenix Academy Public Charter High School Springfield (District),35080000,      12.5,84.0,  15.0 to 1,8.0,92.0,8.3,2020
Phoenix Charter Academy (District),4930000,      15.6,69.2,  13.8 to 1,24.4,80.8,41.2,2020
Pioneer Charter School of Science (District),4940000,      75.4,78.8,  10.5 to 1,18.2,71.7,61.3,2020
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      33.9,78.5,  10.6 to 1,49.6,63.1,53.7,2020
Pioneer Valley,7500000,      59.8,99.7,  11.7 to 1,86.0,96.0,89.2,2020
Pioneer Valley Chinese Immersion Charter (District),4970000,      73.2,72.0,   7.4 to 1,60.8,86.5,58.2,2020
Pioneer Valley Performing Arts Charter Public (District),4790000,      44.9,70.6,   8.8 to 1,66.1,73.3,47.3,2020
Pittsfield,2360000,     491.1,91.2,  10.7 to 1,72.5,84.5,88.0,2020
Plainville,2380000,      52.0,100.0,  13.6 to 1,86.9,100.0,100.0,2020
Plymouth,2390000,     633.7,98.4,  11.6 to 1,84.8,94.9,94.6,2020
Plympton,2400000,      17.3,100.0,  12.7 to 1,100.0,100.0,100.0,2020
Prospect Hill Academy Charter (District),4870000,     103.8,80.7,  10.7 to 1,50.8,93.3,58.9,2020
Provincetown,2420000,      19.4,94.8,   6.8 to 1,89.7,89.7,90.0,2020
Quabbin,7530000,     142.0,99.3,  15.1 to 1,87.5,97.2,92.6,2020
Quaboag Regional,7780000,      99.9,90.4,  12.3 to 1,84.2,92.7,85.7,2020
Quincy,2430000,     708.7,99.6,  13.6 to 1,86.2,93.7,96.8,2020
Ralph C Mahar,7550000,      63.3,96.2,   9.9 to 1,93.0,95.2,72.0,2020
Randolph,2440000,     248.6,99.2,  11.0 to 1,87.4,92.8,95.3,2020
Reading,2460000,     315.2,99.7,  13.2 to 1,88.5,95.1,94.8,2020
Revere,2480000,     569.5,98.6,  13.2 to 1,77.4,94.7,97.0,2020
Richmond,2490000,      20.1,99.0,   8.5 to 1,74.1,92.5,72.0,2020
Rising Tide Charter Public (District),4830000,      58.2,79.0,  11.3 to 1,59.8,81.1,59.4,2020
River Valley Charter (District),4820000,      21.9,78.1,  13.2 to 1,72.6,77.1,60.9,2020
Rochester,2500000,      37.7,100.0,  13.5 to 1,92.6,97.9,100.0,2020
Rockland,2510000,     176.4,100.0,  12.9 to 1,81.2,92.8,92.7,2020
Rockport,2520000,      90.1,98.9,   9.4 to 1,81.2,91.3,85.3,2020
Rowe,2530000,       8.3,100.0,   8.8 to 1,88.0,100.0,90.0,2020
Roxbury Preparatory Charter (District),4840000,     128.0,72.7,  12.3 to 1,20.9,85.4,34.6,2020
Sabis International Charter (District),4410000,      84.4,85.1,  18.6 to 1,70.4,82.7,75.0,2020
Salem,2580000,     329.0,97.3,  11.0 to 1,74.7,88.6,90.0,2020
Salem Academy Charter (District),4850000,      45.8,85.8,  10.8 to 1,59.7,74.7,71.2,2020
Sandwich,2610000,     199.8,98.4,  12.3 to 1,82.2,92.4,91.4,2020
Saugus,2620000,     210.9,99.5,  12.4 to 1,85.3,94.4,95.2,2020
Savoy,2630000,       6.5,84.6,   8.9 to 1,84.6,93.8,44.4,2020
Scituate,2640000,     244.6,99.6,  12.2 to 1,88.2,96.6,95.4,2020
Seekonk,2650000,     161.7,99.9,  12.9 to 1,93.7,96.3,95.9,2020
Seven Hills Charter Public (District),4860000,      35.8,86.0,  18.7 to 1,52.4,72.0,88.9,2020
Sharon,2660000,     268.3,99.4,  13.4 to 1,88.9,94.4,93.8,2020
Shawsheen Valley Regional Vocational Technical,8710000,     127.2,98.4,   9.9 to 1,91.6,90.6,92.4,2020
Sherborn,2690000,      33.4,97.0,  12.4 to 1,88.0,100.0,84.8,2020
Shrewsbury,2710000,     416.5,99.3,  15.0 to 1,86.6,97.1,94.0,2020
Shutesbury,2720000,      15.9,100.0,   7.8 to 1,84.9,93.7,88.2,2020
Silver Lake,7600000,     135.8,99.3,  12.8 to 1,88.8,93.4,96.6,2020
Sizer School: A North Central Charter Essential (District),4740000,      40.0,84.5,   8.9 to 1,62.5,76.8,57.1,2020
Somerset,2730000,     130.6,100.0,  13.3 to 1,90.7,98.3,98.5,2020
Somerset Berkley Regional School District,7630000,      80.6,100.0,  12.7 to 1,90.1,93.8,95.3,2020
Somerville,2740000,     445.1,98.3,  11.1 to 1,81.1,93.4,87.7,2020
South Hadley,2780000,     148.1,100.0,  12.8 to 1,85.5,94.4,92.7,2020
South Middlesex Regional Vocational Technical,8290000,      81.1,92.6,   9.9 to 1,82.6,79.0,92.7,2020
South Shore Charter Public (District),4880000,      91.7,83.3,  10.9 to 1,64.9,81.4,67.9,2020
South Shore Regional Vocational Technical,8730000,      63.7,95.3,  10.0 to 1,81.2,73.3,87.5,2020
Southampton,2750000,      38.4,100.0,  12.8 to 1,94.8,100.0,100.0,2020
Southborough,2760000,     105.7,100.0,  12.1 to 1,95.3,98.8,94.7,2020
Southbridge,2770000,     160.7,94.1,  11.9 to 1,58.5,80.1,84.2,2020
Southeastern Regional Vocational Technical,8720000,     122.3,97.5,  11.9 to 1,87.7,86.5,89.4,2020
Southern Berkshire,7650000,      76.9,99.7,   8.8 to 1,89.6,93.4,93.8,2020
Southern Worcester County Regional Vocational Technical,8760000,     112.0,96.4,  10.2 to 1,84.8,86.6,99.1,2020
Southwick-Tolland-Granville Regional School District,7660000,     127.5,100.0,  11.7 to 1,91.0,97.0,96.3,2020
Spencer-E Brookfield,7670000,     112.1,99.6,  12.3 to 1,88.3,92.0,94.1,2020
Springfield,2810000,"   2,040.2",93.5,  12.3 to 1,73.8,84.2,75.6,2020
Springfield Preparatory Charter School (District),35100000,      27.4,78.3,  11.8 to 1,35.0,90.0,60.7,2020
Stoneham,2840000,     197.3,100.0,  12.0 to 1,80.0,93.7,96.2,2020
Stoughton,2850000,     304.2,100.0,  11.5 to 1,86.0,93.8,95.8,2020
Sturbridge,2870000,      69.5,100.0,  12.8 to 1,91.4,95.7,97.1,2020
Sturgis Charter Public (District),4890000,      89.5,50.5,   9.3 to 1,60.9,84.5,37.0,2020
Sudbury,2880000,     195.9,100.0,  13.6 to 1,92.3,99.0,99.5,2020
Sunderland,2890000,      21.8,95.4,  10.2 to 1,86.2,95.4,92.6,2020
Sutton,2900000,     100.9,99.8,  13.5 to 1,91.0,97.0,91.6,2020
Swampscott,2910000,     184.7,100.0,  12.0 to 1,91.6,97.3,96.9,2020
Swansea,2920000,     159.1,99.8,  13.2 to 1,91.5,94.6,95.7,2020
TEC Connections Academy Commonwealth Virtual School District,39020000,      65.8,98.5,  33.2 to 1,75.6,80.3,83.8,2020
Tantasqua,7700000,     137.1,100.0,  13.1 to 1,87.6,92.6,95.1,2020
Taunton,2930000,     541.0,99.6,  14.9 to 1,88.4,94.5,96.0,2020
Tewksbury,2950000,     261.3,100.0,  12.8 to 1,90.4,96.1,97.0,2020
Tisbury,2960000,      38.4,99.5,   7.8 to 1,82.3,83.8,97.9,2020
Topsfield,2980000,      55.5,100.0,  11.7 to 1,86.3,98.9,98.3,2020
Tri-County Regional Vocational Technical,8780000,      86.2,97.7,  11.2 to 1,89.8,93.3,92.2,2020
Triton,7730000,     195.2,100.0,  12.1 to 1,89.1,93.0,96.0,2020
Truro,3000000,      15.7,96.2,   7.2 to 1,83.4,100.0,88.9,2020
Tyngsborough,3010000,     128.1,100.0,  12.7 to 1,91.2,95.4,93.2,2020
UP Academy Charter School of Boston (District),4800000,      40.5,77.8,  10.4 to 1,25.9,55.5,73.2,2020
UP Academy Charter School of Dorchester (District),35050000,      51.5,78.6,  13.8 to 1,13.6,72.8,68.6,2020
Up-Island Regional,7740000,      52.3,97.6,   7.9 to 1,76.3,84.6,92.1,2020
Upper Cape Cod Regional Vocational Technical,8790000,      71.8,91.6,   9.8 to 1,81.9,79.1,83.3,2020
Uxbridge,3040000,     130.1,100.0,  13.2 to 1,86.2,95.3,91.7,2020
Veritas Preparatory Charter School (District),4980000,      34.9,57.3,  10.5 to 1,37.2,91.4,16.2,2020
Wachusett,7750000,     449.0,100.0,  15.6 to 1,90.1,93.3,98.1,2020
Wakefield,3050000,     263.8,100.0,  13.2 to 1,90.4,96.6,95.6,2020
Wales,3060000,      10.4,100.0,  13.9 to 1,98.1,98.1,100.0,2020
Walpole,3070000,     289.7,100.0,  12.7 to 1,89.0,97.0,97.4,2020
Waltham,3080000,     529.7,99.6,  10.8 to 1,77.1,92.5,93.9,2020
Ware,3090000,      94.7,99.5,  12.0 to 1,85.7,92.6,94.8,2020
Wareham,3100000,     184.1,99.3,  11.6 to 1,85.8,96.2,91.9,2020
Watertown,3140000,     268.7,98.9,   9.9 to 1,80.3,96.0,93.6,2020
Wayland,3150000,     220.8,99.8,  12.3 to 1,89.6,97.1,94.3,2020
Webster,3160000,     139.3,99.3,  13.2 to 1,86.2,92.8,93.2,2020
Wellesley,3170000,     393.2,99.6,  12.4 to 1,88.7,95.8,95.7,2020
Wellfleet,3180000,      11.2,100.0,   9.5 to 1,86.2,100.0,100.0,2020
West Boylston,3220000,      82.5,100.0,  11.0 to 1,82.3,95.2,93.1,2020
West Bridgewater,3230000,      91.8,100.0,  15.0 to 1,89.1,97.8,94.8,2020
West Springfield,3320000,     327.8,99.7,  12.5 to 1,90.9,98.5,95.6,2020
Westborough,3210000,     331.5,99.1,  11.9 to 1,82.7,92.6,96.1,2020
Westfield,3250000,     430.2,97.4,  12.2 to 1,88.4,95.2,93.3,2020
Westford,3260000,     364.8,99.7,  13.5 to 1,92.3,96.5,96.3,2020
Westhampton,3270000,      14.6,100.0,   8.2 to 1,93.2,93.2,94.1,2020
Weston,3300000,     180.4,99.0,  11.3 to 1,90.1,94.3,93.0,2020
Westport,3310000,     113.6,100.0,  12.5 to 1,89.7,94.3,90.0,2020
Westwood,3350000,     242.1,99.6,  12.4 to 1,86.7,94.1,98.0,2020
Weymouth,3360000,     450.4,99.0,  12.8 to 1,86.5,94.6,95.6,2020
Whately,3370000,      12.4,100.0,  10.2 to 1,100.0,100.0,100.0,2020
Whitman-Hanson,7800000,     242.0,100.0,  15.5 to 1,88.6,96.3,97.2,2020
Whittier Regional Vocational Technical,8850000,     113.8,98.2,  11.0 to 1,90.8,85.9,95.0,2020
Williamsburg,3400000,      16.7,100.0,   8.2 to 1,88.0,100.0,84.2,2020
Wilmington,3420000,     272.6,100.0,  11.6 to 1,89.9,97.8,94.9,2020
Winchendon,3430000,      88.1,100.0,  13.9 to 1,79.6,91.7,96.7,2020
Winchester,3440000,     356.3,99.5,  13.1 to 1,82.2,94.7,96.6,2020
Winthrop,3460000,     149.5,99.2,  13.1 to 1,76.2,85.7,95.5,2020
Woburn,3470000,     365.4,100.0,  12.2 to 1,90.6,95.3,94.9,2020
Worcester,3480000,"   1,889.0",96.3,  13.3 to 1,78.4,92.0,85.6,2020
Worthington,3490000,       7.4,100.0,  11.9 to 1,73.0,83.8,88.9,2020
Wrentham,3500000,      78.7,100.0,  12.1 to 1,91.1,97.5,100.0,2020
State Totals,0,"  75,152.1",97.0,  12.6 to 1,82.6,92.6,90.3,2020
Abby Kelley Foster Charter Public (District),4450000,     119.6,99.2,  11.9 to 1,81.5,88.3,90.5,2023
Abington,10000,     153.8,97.1,  13.9 to 1,81.3,89.6,95.7,2023
Academy Of the Pacific Rim Charter Public (District),4120000,      49.6,65.6,   9.4 to 1,37.3,95.6,47.3,2023
Acton-Boxborough,6000000,     395.4,100.0,  13.0 to 1,88.3,97.5,98.8,2023
Acushnet,30000,      76.0,100.0,  12.7 to 1,78.9,92.1,94.7,2023
Advanced Math and Science Academy Charter (District),4300000,      80.5,92.3,  12.0 to 1,80.8,78.9,82.8,2023
Agawam,50000,     275.6,100.0,  12.5 to 1,89.4,96.7,96.3,2023
Alma del Mar Charter School (District),4090000,      79.5,51.3,  13.1 to 1,31.4,95.0,28.6,2023
Amesbury,70000,     168.4,100.0,  10.6 to 1,89.0,95.3,97.7,2023
Amherst,80000,     110.4,96.4,   9.5 to 1,87.3,96.6,95.7,2023
Amherst-Pelham,6050000,     120.1,91.6,  10.2 to 1,81.3,94.0,84.1,2023
Andover,90000,     471.0,99.8,  11.7 to 1,89.2,97.5,99.0,2023
Argosy Collegiate Charter School (District),35090000,      32.6,68.9,  16.9 to 1,47.6,75.2,53.1,2023
Arlington,100000,     486.3,99.2,  12.3 to 1,79.5,94.0,97.4,2023
Ashburnham-Westminster,6100000,     163.9,98.8,  14.1 to 1,91.4,96.5,98.3,2023
Ashland,140000,     217.9,99.5,  13.3 to 1,86.2,98.2,96.9,2023
Assabet Valley Regional Vocational Technical,8010000,     111.2,97.3,  10.1 to 1,88.3,92.8,93.8,2023
Athol-Royalston,6150000,     117.8,99.2,  13.3 to 1,70.6,95.0,92.9,2023
Atlantis Charter (District),4910000,     105.8,76.4,  12.1 to 1,57.4,85.1,63.9,2023
Attleboro,160000,     389.4,99.2,  15.2 to 1,83.4,95.5,95.0,2023
Auburn,170000,     187.6,99.5,  13.6 to 1,88.8,94.1,94.5,2023
Avon,180000,      74.4,100.0,   9.8 to 1,77.1,94.6,100.0,2023
Ayer Shirley School District,6160000,     145.8,99.3,  11.2 to 1,85.0,95.9,94.7,2023
Barnstable,200000,     428.0,99.2,  11.3 to 1,83.6,93.8,96.5,2023
Baystate Academy Charter Public School (District),35020000,      56.1,46.0,   7.2 to 1,28.0,80.4,35.6,2023
Bedford,230000,     231.0,99.6,  11.0 to 1,85.7,94.7,98.0,2023
Belchertown,240000,     172.3,100.0,  12.3 to 1,97.1,100.0,94.4,2023
Bellingham,250000,     159.6,100.0,  12.6 to 1,88.3,95.6,97.0,2023
Belmont,260000,     290.6,100.0,  15.1 to 1,88.1,98.3,98.4,2023
Benjamin Banneker Charter Public (District),4200000,      20.0,85.0,  16.6 to 1,80.0,95.0,80.0,2023
Benjamin Franklin Classical Charter Public (District),4470000,      55.3,92.8,  15.6 to 1,76.5,89.2,83.9,2023
Berkley,270000,      68.2,100.0,  12.5 to 1,83.9,97.1,97.1,2023
Berkshire Arts and Technology Charter Public (District),4140000,      42.2,57.4,   7.5 to 1,73.5,85.8,34.0,2023
Berkshire Hills,6180000,     117.3,99.2,  10.0 to 1,85.7,92.3,96.6,2023
Berlin-Boylston,6200000,      90.5,100.0,  11.8 to 1,86.6,93.4,97.9,2023
Beverly,300000,     379.0,98.7,  12.1 to 1,80.3,95.5,94.5,2023
Billerica,310000,     355.9,100.0,  13.5 to 1,89.8,94.4,96.2,2023
Blackstone Valley Regional Vocational Technical,8050000,     107.0,100.0,  11.5 to 1,89.7,88.8,90.7,2023
Blackstone-Millville,6220000,     119.7,99.2,  12.3 to 1,63.6,93.2,92.9,2023
Blue Hills Regional Vocational Technical,8060000,      80.8,100.0,  11.4 to 1,93.6,91.3,98.8,2023
Boston,350000,"   4,311.6",96.9,  10.7 to 1,80.4,93.8,88.7,2023
Boston Collegiate Charter (District),4490000,      75.6,73.9,   9.2 to 1,46.1,84.0,53.3,2023
Boston Day and Evening Academy Charter (District),4240000,      29.5,88.2,  10.9 to 1,89.8,93.2,64.9,2023
Boston Green Academy Horace Mann Charter School (District),4110000,      46.6,93.3,  10.2 to 1,68.2,91.0,80.0,2023
Boston Preparatory Charter Public (District),4160000,      71.6,66.5,   9.7 to 1,31.4,81.7,57.0,2023
Boston Renaissance Charter Public (District),4810000,      82.5,100.0,  11.2 to 1,68.5,90.3,93.3,2023
Bourne,360000,     148.3,100.0,  10.5 to 1,84.5,94.6,94.2,2023
Boxford,380000,      68.6,100.0,  10.7 to 1,83.1,99.1,97.3,2023
Braintree,400000,     408.2,100.0,  13.0 to 1,92.3,96.8,97.4,2023
Brewster,410000,      45.6,100.0,   9.4 to 1,84.7,91.2,100.0,2023
Bridge Boston Charter School (District),4170000,      31.9,81.2,  10.5 to 1,53.4,87.9,71.9,2023
Bridgewater-Raynham,6250000,     350.5,100.0,  15.6 to 1,86.8,96.8,98.9,2023
Brimfield,430000,      27.3,100.0,  10.5 to 1,85.3,96.3,96.4,2023
Bristol County Agricultural,9100000,      46.8,97.9,  11.7 to 1,74.5,87.2,85.7,2023
Bristol-Plymouth Regional Vocational Technical,8100000,     101.8,100.0,  12.9 to 1,86.7,91.6,96.1,2023
Brockton,440000,"   1,095.9",99.1,  13.6 to 1,81.3,92.5,94.2,2023
Brooke Charter School (District),4280000,     175.6,57.9,  12.7 to 1,50.8,89.0,36.3,2023
Brookfield,450000,      23.9,100.0,  12.2 to 1,66.5,95.8,92.3,2023
Brookline,460000,     610.3,98.8,  11.6 to 1,86.1,97.5,97.2,2023
Burlington,480000,     322.7,99.4,  10.6 to 1,90.0,97.5,97.1,2023
Cambridge,490000,     759.2,97.6,   8.7 to 1,82.6,92.1,95.2,2023
Canton,500000,     254.8,100.0,  12.6 to 1,85.2,95.3,96.4,2023
Cape Cod Lighthouse Charter (District),4320000,      21.4,91.6,  11.7 to 1,94.4,74.3,58.8,2023
Cape Cod Regional Vocational Technical,8150000,      63.7,91.4,  10.5 to 1,73.2,76.5,88.7,2023
Carlisle,510000,      60.4,100.0,   9.9 to 1,90.1,100.0,93.4,2023
Carver,520000,     129.0,99.2,  11.8 to 1,84.5,96.5,92.4,2023
Central Berkshire,6350000,     116.9,98.3,  13.1 to 1,94.0,95.7,96.7,2023
Chelmsford,560000,     379.8,99.3,  13.3 to 1,87.9,97.6,96.6,2023
Chelsea,570000,     477.5,96.9,  12.9 to 1,65.6,88.7,93.6,2023
Chesterfield-Goshen,6320000,      17.7,91.5,   8.2 to 1,70.1,89.8,90.0,2023
Chicopee,610000,     599.3,99.0,  11.2 to 1,85.2,94.8,96.6,2023
Christa McAuliffe Charter School (District),4180000,      32.0,94.7,  10.3 to 1,64.9,85.9,72.5,2023
City on a Hill Charter Public School (District),4370000,      27.3,68.4,   6.7 to 1,33.6,85.0,48.6,2023
Clarksburg,630000,      16.7,100.0,  11.3 to 1,84.4,96.4,94.1,2023
Clinton,640000,     162.7,99.4,  12.1 to 1,84.6,93.8,96.4,2023
Codman Academy Charter Public (District),4380000,      49.8,62.4,   6.7 to 1,57.0,85.9,49.1,2023
Cohasset,650000,     121.1,99.2,  11.6 to 1,89.3,97.9,98.5,2023
Collegiate Charter School of Lowell (District),35030000,      55.0,65.5,  21.9 to 1,21.8,78.2,37.9,2023
Community Charter School of Cambridge (District),4360000,      32.9,72.0,   7.7 to 1,36.0,87.8,50.0,2023
Community Day Charter Public School (District),4400000,     115.9,67.2,  10.3 to 1,43.9,89.6,43.0,2023
Concord,670000,     178.2,100.0,  10.9 to 1,92.7,96.5,98.9,2023
Concord-Carlisle,6400000,     107.0,100.0,  12.2 to 1,91.1,95.3,94.2,2023
Conservatory Lab Charter (District),4390000,      28.5,71.9,  15.9 to 1,56.1,96.5,48.4,2023
Conway,680000,      14.6,100.0,   8.4 to 1,79.4,100.0,100.0,2023
Danvers,710000,     267.3,99.6,  12.1 to 1,87.7,97.8,97.8,2023
Dartmouth,720000,     275.6,99.3,  12.2 to 1,90.5,95.9,96.0,2023
Dedham,730000,     236.2,99.6,  10.8 to 1,90.6,97.0,96.1,2023
Deerfield,740000,      33.0,97.0,   9.4 to 1,87.9,97.0,91.9,2023
Dennis-Yarmouth,6450000,     284.0,99.6,  10.1 to 1,85.0,93.5,97.0,2023
Dighton-Rehoboth,6500000,     218.8,99.6,  11.3 to 1,87.3,95.6,96.9,2023
Douglas,770000,      98.5,98.5,  12.0 to 1,85.4,91.9,95.3,2023
Dover,780000,      44.9,97.8,  11.2 to 1,83.3,92.0,100.0,2023
Dover-Sherborn,6550000,     101.0,99.0,  11.4 to 1,90.5,97.0,95.0,2023
Dracut,790000,     238.6,99.6,  15.0 to 1,78.6,96.1,98.0,2023
Dudley Street Neighborhood Charter School (District),4070000,      19.5,89.7,  14.3 to 1,74.4,100.0,84.2,2023
Dudley-Charlton Reg,6580000,     259.9,99.9,  13.2 to 1,91.7,96.9,96.8,2023
Duxbury,820000,     218.6,99.9,  12.9 to 1,91.7,98.2,98.3,2023
East Bridgewater,830000,     161.0,99.4,  12.8 to 1,75.8,96.3,98.8,2023
